ID,Name,Email,DateOfBirth,Address,Phone,StatusCode
1,John Doe,johndoe@example.com,1991-08-15,123 Fake Street, New York,123456789,PENDING
2,Jane Doe,janedoe@example.com,1990-12-24,456 Main Street, Dallas,987654321,COMPLETED
3,Rick Smith,ricksmith@example.com,1995-04-30,789 Broadway, Los Angeles,741852963,FAILED
4,Emily Johnson,emilyjohn@example.com,1989-05-22,111 Park Ave, Boston,963258741,PROCESSING
5,Michael Brown,michaelbrown@example.com,1992-07-16,222 Elm Street, Chicago,159357456,COMPLETED
6,Nicole Davis,nicoledavis@example.com,1993-06-28,333 Pine Street, Houston,753159846,FAILED
7,James Williams,jameswill@example.com,1994-09-12,444 Oak Street, Philadelphia,357951258,PENDING
8,Patricia Jones,patriciajones@example.com,1998-10-27,555 Maple Street, Phoenix,951753684,PENDING
9,Robert Miller,robertmiller@example.com,1988-03-06,666 Cherry St, San Antonio,789456123,COMPLETED
10,Jennifer Taylor,jennifertaylor@example.com,1987-01-31,777 Walnut Street, San Diego,321654987,PROCESSING
