Id,FirstName,LastName,Email,Phone,Address,StatusCode
1,John,Doe,johndoe@gmail.com,1234567890,123 Street,200
2,Jane,Doe,janedoe@hotmail.com,2345678901,456 Avenue,404
3,Jim,Smith,jimsmith@yahoo.com,3456789012,789 Boulevard,200
4,Jill,Johnson,jillj@yahoo.com,4567890123,1011 Lane,404
5,Joe,Davis,joedavis@gmail.com,5678901234,1213 Drive,,500
6,Jerry,Brown,jerrybrown@hotmail.com,6789012345,1415 Road,200
7,Jasmine,White,jaswhite@yahoo.com,7890123456,1617 Way,404
8,Jackie,Garcia,jackiegarcia@gmail.com,,1819 Street,200
9,Jeff,Martin,jeffmartin@hotmail.com,9012345678,2021 Avenue,500
10,Judy,Thomas,judythomas@yahoo.com,0123456789,2223 Boulevard,404
