id,firstName,lastName,email,age,city,state,country,zip,statusCode
1,John,Doe,john.doe@gmail.com,28,New York,New York,USA,10001,200
2,Jane,Smith,jane.smith@example.com,32,Los Angeles,California,USA,90001,200
3,Tom,Brown,tom.brown@example.com,22,San Francisco,California,USA,94101,404
4,Emily,Clark,emily.clark@example.com,25,Chicago,Illinois,USA,60601,200
5,Michael,Johnson,michael.johnson@example.com,35,Houston,Texas,USA,77001,500
6,Sarah,Williams,sarah.williams@example.com,30,Phoenix,Arizona,USA,85001,200
7,David,Jones,david.jones@example.com,40,Philadelphia,Pennsylvania,USA,19106,404
8,Lisa,Wilson,lisa.wilson@example.com,27,San Diego,California,USA,92101,200
9,Robert,Moore,robert.moore@example.com,33,Dallas,Texas,USA,75201,500
10,Laura,Taylor,laura.taylor@example.com,29,Indianapolis,Indiana,USA,46201,200
